rfid,ex,ey,ez,ax,ay,az,myo,key,sw,capsens,lastnr
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,262,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,259,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,237,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,215,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,327,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,457,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,515,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,527,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,535,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,533,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,451,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,322,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,258,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,275,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,291,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,277,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,269,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,274,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,249,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,223,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,308,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,446,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,520,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,532,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,515,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,423,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,289,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,256,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,274,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,289,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,274,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,270,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,268,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,241,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,218,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,336,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,467,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,520,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,531,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,496,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,393,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,253,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,254,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,274,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,279,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,266,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,275,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,254,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,229,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,247,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,362,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,480,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,517,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,527,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,470,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,355,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,238,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,254,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,273,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,270,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,259,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,268,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,248,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,220,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,265,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,391,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,495,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,520,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,524,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,448,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,321,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,240,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,257,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,276,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,264,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,259,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,262,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,240,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,209,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,286,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,420,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,503,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,521,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,509,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,428,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,291,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,245,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,262,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,277,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,262,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,256,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,259,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,231,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,203,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,318,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,448,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,511,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,523,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,494,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,399,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,260,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,246,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,265,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,278,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,262,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,264,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,255,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,230,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,231,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,346,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,472,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,515,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,528,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,475,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,366,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,236,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,252,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,272,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,269,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,261,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,270,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,251,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,222,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,258,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,381,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,491,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,520,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,526,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,454,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,334,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,241,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,256,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,276,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,267,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,257,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,267,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,242,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,217,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,278,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,412,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,504,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,522,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,516,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,432,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,302,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,243,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,261,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,279,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,266,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,260,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,261,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,235,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,210,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,311,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,440,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,511,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,524,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,501,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,404,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,268,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,248,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,266,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,282,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,264,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,262,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,256,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,232,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,225,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,343,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,468,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,516,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,526,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,482,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,374,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,238,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,251,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,273,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,275,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,263,1,1,1,0
,-0.0625,-0.0625,-0.0625,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,271,1,1,1,0
